"#","Reference","Qty","Value","Footprint","DNP","OrderNr","Distributor"
"1","C1, C5, C6, C9, C15","5","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"2","C2, C8, C10, C11, C13","5","10µF/50V","Capacitor_SMD:C_1206_3216Metric","","1276-6736-1-ND","D"
"3","C3, C4","2","6pF","Capacitor_SMD:C_0805_2012Metric","","311-1095-1-ND","D"
"4","C7, C12","2","10µ/50V","Capacitor_SMD:CP_Elec_5x5.4","","732-8451-1-ND","D"
"5","C14","1","1µ/50V","Capacitor_SMD:C_1206_3216Metric","","1276-2719-1-ND","D"
"6","J1","1","SWD","myfootprints:PinHeader_IDC_2x05_P1.27mm_Vertical_SMD","","","X"
"7","P1","1","MYUSB_B","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","","609-4050-1-ND","D"
"8","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14","14","BSS84","Package_TO_SOT_SMD:SOT-23","","",""
"9","R1, R2","2","1k","Resistor_SMD:R_0805_2012Metric","","",""
"10","R3, R5","2","15R","Resistor_SMD:R_2010_5025Metric","","RMCF2010JT15R0CT-ND","D"
"11","R4, R7, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22","14","47k","Resistor_SMD:R_0805_2012Metric","","",""
"12","R6","1","36k","Resistor_SMD:R_0805_2012Metric","","",""
"13","R8","1","x","Resistor_SMD:R_0805_2012Metric","DNP","","-"
"14","R9, R26","2","12R","Resistor_SMD:R_2010_5025Metric","","RMCF2010JT12R0CT-ND","D"
"15","R10, R29","2","10R","Resistor_SMD:R_2010_5025Metric","","RMCF2010JT10R0CT-ND","D"
"16","R23","1","100k","Resistor_SMD:R_0805_2012Metric","","",""
"17","R24, R25","2","10k","Resistor_SMD:R_0805_2012Metric","","",""
"18","R27, R28","2","22","Resistor_SMD:R_0805_2012Metric","","",""
"19","RV1","1","10k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","","3269W-1-103LF-ND","D"
"20","SW3, SW4, SW5","3","SW_SPST","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS","","CKN9121-ND","D"
"21","U1","1","IVL2-7_5","myfootprints:ILV2-5_7","","","X"
"22","U2","1","TLV9301xDBV","Package_TO_SOT_SMD:SOT-23-5","","296-TLV9301IDBVRCT-ND","D"
"23","U3","1","STM32L052K6Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm","","497-14904-ND","D"
"24","U4","1","2EDN7524F","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","2EDN7524FXTMA1CT-ND","D"
"25","U5","1","IES0105S24","myfootprints:IES0105S24-dcdc","","1470-IES0105S24-ND","D"
"26","U6","1","LM1117MP-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","LM1117MPX-3.3/NOPBCT-ND","D"
"27","Y1","1","Crystal","Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm","","535-15021-1-ND","D"
